Timestamp,1. Spending: How long do you spend on this course per week?,2. Spending: How much money do you spend on this course except for the tuition and fees?,3. Spending: How long do you spend on discussing with classmates per week?,4. Spending: How long do you use in preparing the exam and quiz totally ?,5. Spending: How long do you use in studying totally without purpose of exams?,6. Outcome: How do you rate your learning outcome in this course by yourself? ,7. Outcome: How do you like this course?,8. Outcome: How much do you think you have learnt from this course?,9. Outcome: Do you get a chance to apply what you have learnt in this course? ,10. Outcome: How do you evaluate your performance in applying what you have learnt?
2018/06/29 9:22:45 AM MDT,OK (5~10 hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),OK (5~10 hrs),OK,OK,OK,OK,Good
2018/06/29 9:30:48 AM MDT,OK (5~10 hrs),Much (>$200),Much (>2 hrs),OK (5~10 hrs),Much (>10 hrs),Good,Good,OK,Much,OK
2018/06/29 9:35:40 AM MDT,Much (>10hrs),OK ($50~200),OK (1~2hrs),Much (>10 hrs),OK (5~10 hrs),Good,OK,Much,Much,Good
2018/06/29 10:10:04 AM MDT,Little (<5 hrs),Little (<$50),Little (<1 hrs),Little (<1 hrs),Little (< 1 hrs),OK,Good,OK,OK,OK
2018/06/29 11:09:59 AM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),Bad,OK,Much,OK,OK
2018/06/29 12:01:29 PM MDT,Much (>10hrs),Little (<$50),OK (1~2hrs),Much (>10 hrs),OK (5~10 hrs),Good,OK,Little,Much,Bad
2018/06/29 12:31:20 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Little (<1 hrs),OK (5~10 hrs),Good,Good,Much,Much,Good
2018/06/29 12:51:45 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),Much (>10 hrs),Much (>10 hrs),OK,Good,OK,OK,OK
2018/06/30 1:13:01 PM MDT,OK (5~10 hrs),Little (<$50),OK (1~2hrs),Little (<1 hrs),Little (< 1 hrs),OK,OK,OK,Little,OK
2018/06/30 1:19:09 PM MDT,Much (>10hrs),Much (>$200),Little (<1 hrs),OK (5~10 hrs),Much (>10 hrs),Good,OK,Much,Much,Bad
2018/06/30 2:34:01 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),OK (5~10 hrs),OK,Good,OK,Much,Bad
2018/06/30 3:32:15 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),Good,Good,Much,Much,Good
2018/06/30 4:32:40 PM MDT,Much (>10hrs),OK ($50~200),OK (1~2hrs),OK (5~10 hrs),Little (< 1 hrs),Good,Good,Much,OK,Good
2018/06/30 4:38:44 PM MDT,Much (>10hrs),OK ($50~200),Much (>2 hrs),OK (5~10 hrs),Much (>10 hrs),OK,OK,OK,OK,Bad
2018/06/30 5:07:15 PM MDT,Much (>10hrs),Little (<$50),Much (>2 hrs),Little (<1 hrs),Little (< 1 hrs),Good,Good,Much,Much,Good
2018/06/30 5:33:25 PM MDT,OK (5~10 hrs),OK ($50~200),OK (1~2hrs),Much (>10 hrs),OK (5~10 hrs),Good,Good,Much,Much,Good
2018/06/30 5:59:25 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),OK (5~10 hrs),Much (>10 hrs),OK,Good,OK,OK,Good
